都道府県,市区町村,人口
北海道,札幌市,1913545
北海道,函館市,279127
北海道,小樽市,131928
北海道,旭川市,347095
北海道,室蘭市,94535
北海道,釧路市,181169
北海道,帯広市,168057
北海道,北見市,125689
北海道,夕張市,10922
北海道,岩見沢市,90145
北海道,網走市,40998
北海道,留萌市,24457
北海道,苫小牧市,173320
北海道,稚内市,39595
北海道,美唄市,26034
北海道,芦別市,16628
北海道,江別市,123722
北海道,赤平市,12637
北海道,紋別市,24750
北海道,士別市,21787
北海道,名寄市,30591
北海道,三笠市,10221
北海道,根室市,29201
北海道,千歳市,93604
北海道,滝川市,43170
北海道,砂川市,19056
北海道,歌志内市,4387
北海道,深川市,23709
北海道,富良野市,24259
北海道,登別市,51526
北海道,恵庭市,69384
北海道,伊達市,36278
北海道,北広島市,60353
北海道,石狩市,59449
北海道,北斗市,48032
北海道,当別町,18766
北海道,新篠津村,3515
北海道,松前町,8748
北海道,福島町,5114
北海道,知内町,5074
北海道,木古内町,5341
北海道,七飯町,28463
北海道,鹿部町,4767
北海道,森町,17859
北海道,八雲町,18896
北海道,長万部町,6386
北海道,江差町,9004
北海道,上ノ国町,5428
北海道,厚沢部町,4409
北海道,乙部町,4408
北海道,奥尻町,3033
北海道,今金町,6186
北海道,せたな町,9590
北海道,島牧村,1781
北海道,寿都町,3443
北海道,黒松内町,3250
北海道,蘭越町,5292
北海道,ニセコ町,4823
北海道,真狩村,2189
北海道,留寿都村,2034
北海道,喜茂別町,2490
北海道,京極町,3811
北海道,倶知安町,15568
北海道,共和町,6428
北海道,岩内町,14451
北海道,泊村,1883
北海道,神恵内村,1122
北海道,積丹町,2516
北海道,古平町,3611
北海道,仁木町,3800
北海道,余市町,21258
北海道,赤井川村,1262
北海道,南幌町,8778
北海道,奈井江町,6194
北海道,上砂川町,4086
北海道,由仁町,5896
北海道,長沼町,11691
北海道,栗山町,13340
北海道,月形町,4859
北海道,浦臼町,2206
北海道,新十津川町,7249
北海道,妹背牛町,3462
北海道,秩父別町,2730
北海道,雨竜町,3049
北海道,北竜町,2193
北海道,沼田町,3612
北海道,鷹栖町,7345
北海道,東神楽町,9292
北海道,当麻町,7087
北海道,比布町,4042
北海道,愛別町,3328
北海道,上川町,4532
北海道,東川町,7859
北海道,美瑛町,10956
北海道,上富良野町,11545
北海道,中富良野町,5477
北海道,南富良野町,2814
北海道,占冠村,1394
北海道,和寒町,3832
北海道,剣淵町,3565
北海道,下川町,3775
北海道,美深町,5178
北海道,音威子府村,995
北海道,中川町,1907
北海道,幌加内町,1710
北海道,増毛町,5078
北海道,小平町,3717
北海道,苫前町,3656
北海道,羽幌町,7964
北海道,初山別村,1369
北海道,遠別町,3084
北海道,天塩町,3780
北海道,猿払村,2825
北海道,浜頓別町,4168
北海道,中頓別町,1974
北海道,枝幸町,9125
北海道,豊富町,4378
北海道,礼文町,3078
北海道,利尻町,2590
北海道,利尻富士町,3037
北海道,幌延町,2677
北海道,美幌町,21575
北海道,津別町,5646
北海道,斜里町,13045
北海道,清里町,4551
北海道,小清水町,5358
北海道,訓子府町,5435
北海道,置戸町,3428
北海道,佐呂間町,5892
北海道,遠軽町,22265
北海道,湧別町,10041
北海道,滝上町,3028
北海道,興部町,4301
北海道,西興部村,1135
北海道,雄武町,4939
北海道,大空町,7933
北海道,豊浦町,4528
北海道,壮瞥町,3232
北海道,白老町,19376
北海道,厚真町,4890
北海道,洞爺湖町,10132
北海道,安平町,8726
北海道,むかわ町,9746
北海道,日高町,13615
北海道,平取町,5596
北海道,新冠町,5775
北海道,浦河町,14389
北海道,様似町,5114
北海道,えりも町,5413
北海道,新ひだか町,25419
北海道,音更町,45085
北海道,士幌町,6416
北海道,上士幌町,5080
北海道,鹿追町,5702
北海道,新得町,6653
北海道,清水町,9961
北海道,芽室町,18905
北海道,中札内村,4006
北海道,更別村,3391
北海道,大樹町,5977
北海道,広尾町,7881
北海道,幕別町,26547
北海道,池田町,7527
北海道,豊頃町,3394
北海道,本別町,8275
北海道,足寄町,7630
北海道,陸別町,2650
北海道,浦幌町,5460
北海道,釧路町,20526
北海道,厚岸町,10630
北海道,浜中町,6511
北海道,標茶町,8285
北海道,弟子屈町,8278
北海道,鶴居村,2627
北海道,白糠町,9294
北海道,別海町,15855
北海道,中標津町,23982
北海道,標津町,5646
北海道,羅臼町,5885
青森県,青森市,299520
青森県,弘前市,183473
青森県,八戸市,237615
青森県,黒石市,36132
青森県,五所川原市,58421
青森県,十和田市,66110
青森県,三沢市,41258
青森県,むつ市,61066
青森県,つがる市,37243
青森県,平川市,33764
青森県,平内町,12361
青森県,今別町,3217
青森県,蓬田村,3271
青森県,外ヶ浜町,7089
青森県,鰺ヶ沢町,11449
青森県,深浦町,9691
青森県,西目屋村,1594
青森県,藤崎町,16021
青森県,大鰐町,10978
青森県,田舎館村,8153
青森県,板柳町,15227
青森県,鶴田町,14270
青森県,中泊町,12743
青森県,野辺地町,14314
青森県,七戸町,16759
青森県,六戸町,10241
青森県,横浜町,4881
青森県,東北町,19106
青森県,六ヶ所村,11095
青森県,おいらせ町,24211
青森県,大間町,6340
青森県,東通村,7252
青森県,風間浦村,2463
青森県,佐井村,2422
青森県,三戸町,11299
青森県,五戸町,18712
青森県,田子町,6175
青森県,南部町,19853
青森県,階上町,14699
青森県,新郷村,2851
岩手県,盛岡市,298348
岩手県,宮古市,59430
岩手県,大船渡市,40737
岩手県,花巻市,101438
岩手県,北上市,93138
岩手県,久慈市,36872
岩手県,遠野市,29331
岩手県,一関市,127642
岩手県,陸前高田市,23300
岩手県,釜石市,39574
岩手県,二戸市,29702
岩手県,八幡平市,28680
岩手県,奥州市,124746
岩手県,滝沢市,53857
岩手県,雫石町,18033
岩手県,葛巻町,7304
岩手県,岩手町,14984
岩手県,紫波町,33288
岩手県,矢巾町,27205
岩手県,西和賀町,6602
岩手県,金ケ崎町,16325
岩手県,平泉町,8345
岩手県,住田町,6190
岩手県,大槌町,15276
岩手県,山田町,18617
岩手県,岩泉町,10804
岩手県,田野畑村,3843
岩手県,普代村,3088
岩手県,軽米町,10209
岩手県,野田村,4632
岩手県,九戸村,6507
岩手県,洋野町,17913
岩手県,一戸町,14187
宮城県,仙台市,1045986
宮城県,石巻市,160826
宮城県,塩竈市,56490
宮城県,気仙沼市,73489
宮城県,白石市,37422
宮城県,名取市,73134
宮城県,角田市,31336
宮城県,多賀城市,63060
宮城県,岩沼市,44187
宮城県,登米市,83969
宮城県,栗原市,74932
宮城県,東松島市,42903
宮城県,大崎市,135147
宮城県,蔵王町,12882
宮城県,七ヶ宿町,1694
宮城県,大河原町,23530
宮城県,村田町,11995
宮城県,柴田町,39341
宮城県,川崎町,9978
宮城県,丸森町,15501
宮城県,亘理町,34845
宮城県,山元町,16704
宮城県,松島町,15085
宮城県,七ヶ浜町,20416
宮城県,利府町,33994
宮城県,大和町,24894
宮城県,大郷町,8927
宮城県,富谷町,47042
宮城県,大衡村,5334
宮城県,色麻町,7431
宮城県,加美町,25527
宮城県,涌谷町,17494
宮城県,美里町,25190
宮城県,女川町,10051
宮城県,南三陸町,17429
秋田県,秋田市,323600
秋田県,能代市,59084
秋田県,横手市,98367
秋田県,大館市,78946
秋田県,男鹿市,32294
秋田県,湯沢市,50849
秋田県,鹿角市,34473
秋田県,由利本荘市,85229
秋田県,潟上市,34442
秋田県,大仙市,88301
秋田県,北秋田市,36387
秋田県,にかほ市,27544
秋田県,仙北市,29568
秋田県,小坂町,6054
秋田県,上小阿仁村,2727
秋田県,藤里町,3848
秋田県,三種町,18876
秋田県,八峰町,8220
秋田県,五城目町,10516
秋田県,八郎潟町,6623
秋田県,井川町,5493
秋田県,大潟村,3218
秋田県,美郷町,21674
秋田県,羽後町,16792
秋田県,東成瀬村,2872
山形県,山形市,254244
山形県,米沢市,89401
山形県,鶴岡市,136623
山形県,酒田市,111151
山形県,新庄市,38850
山形県,寒河江市,42373
山形県,上山市,33836
山形県,村山市,26811
山形県,長井市,29473
山形県,天童市,62214
山形県,東根市,46414
山形県,尾花沢市,18955
山形県,南陽市,33658
山形県,山辺町,15139
山形県,中山町,12015
山形県,河北町,19959
山形県,西川町,6270
山形県,朝日町,7856
山形県,大江町,9227
山形県,大石田町,8160
山形県,金山町,6365
山形県,最上町,9847
山形県,舟形町,6164
山形県,真室川町,9165
山形県,大蔵村,3762
山形県,鮭川村,4862
山形県,戸沢村,5304
山形県,高畠町,25025
山形県,川西町,17313
山形県,小国町,8862
山形県,白鷹町,15314
山形県,飯豊町,7943
山形県,三川町,7731
山形県,庄内町,23158
山形県,遊佐町,15480
福島県,福島市,292590
福島県,会津若松市,126220
福島県,郡山市,338712
福島県,いわき市,342249
福島県,白河市,64704
福島県,須賀川市,79267
福島県,喜多方市,52356
福島県,相馬市,37817
福島県,二本松市,59871
福島県,田村市,40422
福島県,南相馬市,70878
福島県,伊達市,66027
福島県,本宮市,31489
福島県,桑折町,12853
福島県,国見町,10086
福島県,川俣町,15569
福島県,大玉村,8574
福島県,鏡石町,12815
福島県,天栄村,6291
福島県,下郷町,6461
福島県,檜枝岐村,636
福島県,只見町,4932
福島県,南会津町,17864
福島県,北塩原村,3185
福島県,西会津町,7366
福島県,磐梯町,3761
福島県,猪苗代町,15805
福島県,会津坂下町,17360
福島県,湯川村,3364
福島県,柳津町,4009
福島県,三島町,1926
福島県,金山町,2462
福島県,昭和村,1500
福島県,会津美里町,22737
福島県,西郷村,19767
福島県,泉崎村,6802
福島県,中島村,5154
福島県,矢吹町,18407
福島県,棚倉町,15062
福島県,矢祭町,6348
福島県,塙町,9884
福島県,鮫川村,3989
福島県,石川町,17775
福島県,玉川村,7231
福島県,平田村,6921
福島県,浅川町,6888
福島県,古殿町,6030
福島県,三春町,18191
福島県,小野町,11202
福島県,広野町,5418
福島県,楢葉町,7700
福島県,富岡町,16001
福島県,川内村,2820
福島県,大熊町,11515
福島県,双葉町,6932
福島県,浪江町,20905
福島県,葛尾村,1531
福島県,新地町,8224
福島県,飯舘村,6209
茨城県,水戸市,268750
茨城県,日立市,193129
茨城県,土浦市,143839
茨城県,古河市,142995
茨城県,石岡市,79687
茨城県,結城市,52494
茨城県,龍ケ崎市,80334
茨城県,下妻市,44987
茨城県,常総市,65320
茨城県,常陸太田市,56250
茨城県,高萩市,31017
茨城県,北茨城市,47026
茨城県,笠間市,79409
茨城県,取手市,109651
茨城県,牛久市,81684
茨城県,つくば市,214590
茨城県,ひたちなか市,157060
茨城県,鹿嶋市,66093
茨城県,潮来市,30534
茨城県,守谷市,62482
茨城県,常陸大宮市,45178
茨城県,那珂市,54240
茨城県,筑西市,108527
茨城県,坂東市,56114
茨城県,稲敷市,46895
茨城県,かすみがうら市,43553
茨城県,桜川市,45673
茨城県,神栖市,94795
茨城県,行方市,37611
茨城県,鉾田市,50156
茨城県,つくばみらい市,44461
茨城県,小美玉市,52279
茨城県,茨城町,34513
茨城県,大洗町,18328
茨城県,城里町,21491
茨城県,東海村,37438
茨城県,大子町,20073
茨城県,美浦村,17299
茨城県,阿見町,47940
茨城県,河内町,10172
茨城県,八千代町,23106
茨城県,五霞町,9410
茨城県,境町,25714
茨城県,利根町,17473
栃木県,宇都宮市,511739
栃木県,足利市,154530
栃木県,栃木市,164024
栃木県,佐野市,121249
栃木県,鹿沼市,102348
栃木県,日光市,90066
栃木県,小山市,164454
栃木県,真岡市,82289
栃木県,大田原市,77729
栃木県,矢板市,35343
栃木県,那須塩原市,117812
栃木県,さくら市,44768
栃木県,那須烏山市,29206
栃木県,下野市,59483
栃木県,上三川町,31621
栃木県,益子町,24348
栃木県,茂木町,15018
栃木県,市貝町,12094
栃木県,芳賀町,16030
栃木県,壬生町,39605
栃木県,野木町,25720
栃木県,塩谷町,12560
栃木県,高根沢町,30436
栃木県,那須町,26765
栃木県,那珂川町,18446
群馬県,前橋市,340291
群馬県,高崎市,371302
群馬県,桐生市,121704
群馬県,伊勢崎市,207221
群馬県,太田市,216465
群馬県,沼田市,51265
群馬県,館林市,78608
群馬県,渋川市,83330
群馬県,藤岡市,67975
群馬県,富岡市,52070
群馬県,安中市,61077
群馬県,みどり市,51899
群馬県,榛東村,14370
群馬県,吉岡町,19801
群馬県,上野村,1306
群馬県,神流町,2352
群馬県,下仁田町,8911
群馬県,南牧村,2423
群馬県,甘楽町,13618
群馬県,中之条町,18216
群馬県,長野原町,6017
群馬県,嬬恋村,10183
群馬県,草津町,7160
群馬県,高山村,3911
群馬県,東吾妻町,15622
群馬県,片品村,4904
群馬県,川場村,3898
群馬県,昭和村,7620
群馬県,みなかみ町,21345
群馬県,玉村町,37536
群馬県,板倉町,15706
群馬県,明和町,11209
群馬県,千代田町,11473
群馬県,大泉町,40257
群馬県,邑楽町,27023
埼玉県,さいたま市,1222434
埼玉県,川越市,342670
埼玉県,熊谷市,203180
埼玉県,川口市,561506
埼玉県,行田市,85786
埼玉県,秩父市,66955
埼玉県,所沢市,341924
埼玉県,飯能市,83549
埼玉県,加須市,115002
埼玉県,本庄市,81889
埼玉県,東松山市,90099
埼玉県,春日部市,237171
埼玉県,狭山市,155727
埼玉県,羽生市,56204
埼玉県,鴻巣市,119639
埼玉県,深谷市,144618
埼玉県,上尾市,223926
埼玉県,草加市,243855
埼玉県,越谷市,326313
埼玉県,蕨市,71502
埼玉県,戸田市,123079
埼玉県,入間市,149872
埼玉県,朝霞市,129691
埼玉県,志木市,69611
埼玉県,和光市,80745
埼玉県,新座市,158777
埼玉県,桶川市,74711
埼玉県,久喜市,154310
埼玉県,北本市,68888
埼玉県,八潮市,82977
埼玉県,富士見市,106736
埼玉県,三郷市,131415
